Blender 4.3.2 | samples=248 res=1400
=== BUILD golden_chalice ===
RENDER golden_chalice -> /workspace/bot-campus-publish/gold-studio/golden_chalice.png
Blender 4.3.2
Fra:1 Mem:12.74M (Peak 12.74M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Base
Fra:1 Mem:12.78M (Peak 12.78M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LiquidCore
Fra:1 Mem:12.86M (Peak 12.86M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BaseRim
Fra:1 Mem:12.87M (Peak 12.87M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LiquidSurf
Fra:1 Mem:12.96M (Peak 12.96M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LiquidBody
Fra:1 Mem:13.02M (Peak 13.02M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Foot
Fra:1 Mem:13.02M (Peak 13.02M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BandGem5
Fra:1 Mem:13.12M (Peak 13.12M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BandGem4
Fra:1 Mem:13.12M (Peak 13.12M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Knop
Fra:1 Mem:13.23M (Peak 13.23M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BandGem3
Fra:1 Mem:13.27M (Peak 13.27M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | KnopRing
Fra:1 Mem:13.36M (Peak 13.36M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BandGem2
Fra:1 Mem:13.43M (Peak 13.43M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Bowl
Fra:1 Mem:13.45M (Peak 13.45M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BandGem1
Fra:1 Mem:13.57M (Peak 13.57M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BandGem0
Fra:1 Mem:13.64M (Peak 13.64M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BowlInner
Fra:1 Mem:13.69M (Peak 13.69M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | DecoBand
Fra:1 Mem:13.79M (Peak 13.79M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | CupRim
Fra:1 Mem:13.93M (Peak 13.93M) | Time:00:00.00 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Initializing
Fra:1 Mem:12.96M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Waiting for render to start
Fra:1 Mem:12.96M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Loading render kernels (may take a few minutes the first time)
Fra:1 Mem:12.96M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Scene
Fra:1 Mem:12.96M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Shaders
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Procedurals
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Background
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Camera
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Meshes Flags
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Updating Objects | Copying Transformations to device
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Objects | Applying Static Transformations
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Particle Systems
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Particle Systems | Copying Particles to device
Fra:1 Mem:13.05M (Peak 13.93M) | Time:00:00.01 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Meshes
Fra:1 Mem:13.29M (Peak 13.93M) | Time:00:00.01 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Computing attributes
Fra:1 Mem:13.39M (Peak 13.93M) | Time:00:00.01 | Mem:0.01M, Peak:0.01M | Scene, ViewLayer | Updating Mesh | Copying Attributes to device
Fra:1 Mem:13.38M (Peak 13.93M) | Time:00:00.01 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Scene BVH | Building
Fra:1 Mem:13.38M (Peak 13.93M) | Time:00:00.01 | Mem:0.10M, Peak:0.10M | Scene, ViewLayer | Updating Scene BVH | Building BVH
Fra:1 Mem:13.38M (Peak 13.93M) | Time:00:00.01 | Mem:0.58M, Peak:0.58M | Scene, ViewLayer | Updating Scene BVH | Building BVH 0%
Fra:1 Mem:13.38M (Peak 13.93M) | Time:00:00.02 | Mem:1.15M, Peak:1.63M | Scene, ViewLayer | Updating Scene BVH | Copying BVH to device
Fra:1 Mem:13.38M (Peak 13.93M) | Time:00:00.02 | Mem:1.15M, Peak:1.63M | Scene, ViewLayer | Updating Mesh | Computing normals
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.15M, Peak:1.63M | Scene, ViewLayer | Updating Mesh | Copying Mesh to device
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Objects Flags
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Primitive Offsets
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Images
Fra:1 Mem:13.92M (Peak 13.93M) | Time:00:00.02 | Mem:1.69M, Peak:1.69M | Scene, ViewLayer | Updating Camera Volume
