Blender 4.3.2
Fra:1 Mem:65.91M (Peak 65.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | SandBase
Fra:1 Mem:65.91M (Peak 65.91M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft3
Fra:1 Mem:65.92M (Peak 65.92M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft4
Fra:1 Mem:65.96M (Peak 65.96M) | Time:00:00.04 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft6
Fra:1 Mem:65.96M (Peak 65.96M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft7
Fra:1 Mem:65.97M (Peak 65.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft8
Fra:1 Mem:65.97M (Peak 65.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft9
Fra:1 Mem:65.97M (Peak 65.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft10
Fra:1 Mem:65.98M (Peak 65.98M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft11
Fra:1 Mem:65.98M (Peak 65.98M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft12
Fra:1 Mem:65.99M (Peak 65.99M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft13
Fra:1 Mem:65.99M (Peak 65.99M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft14
Fra:1 Mem:65.99M (Peak 65.99M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft15
Fra:1 Mem:66.00M (Peak 66.00M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft16
Fra:1 Mem:66.00M (Peak 66.00M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft17
Fra:1 Mem:66.00M (Peak 66.00M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft18
Fra:1 Mem:66.01M (Peak 66.01M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft19
Fra:1 Mem:66.01M (Peak 66.01M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft21
Fra:1 Mem:66.02M (Peak 66.02M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft22
Fra:1 Mem:66.02M (Peak 66.02M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft23
Fra:1 Mem:66.02M (Peak 66.02M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft24
Fra:1 Mem:66.03M (Peak 66.03M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post0
Fra:1 Mem:66.05M (Peak 66.05M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip0
Fra:1 Mem:66.05M (Peak 66.05M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace0
Fra:1 Mem:66.07M (Peak 66.07M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post1
Fra:1 Mem:66.09M (Peak 66.09M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip1
Fra:1 Mem:66.09M (Peak 66.09M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post2
Fra:1 Mem:66.11M (Peak 66.11M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip2
Fra:1 Mem:66.12M (Peak 66.12M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace2
Fra:1 Mem:66.14M (Peak 66.14M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post3
Fra:1 Mem:66.16M (Peak 66.16M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip3
Fra:1 Mem:66.16M (Peak 66.16M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post4
Fra:1 Mem:66.18M (Peak 66.18M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip4
Fra:1 Mem:66.18M (Peak 66.18M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace4
Fra:1 Mem:66.20M (Peak 66.20M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post5
Fra:1 Mem:66.22M (Peak 66.22M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip5
Fra:1 Mem:66.23M (Peak 66.23M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post6
Fra:1 Mem:66.25M (Peak 66.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip6
Fra:1 Mem:66.25M (Peak 66.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace6
Fra:1 Mem:66.28M (Peak 66.28M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post7
Fra:1 Mem:66.30M (Peak 66.30M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip7
Fra:1 Mem:66.30M (Peak 66.30M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post8
Fra:1 Mem:66.31M (Peak 66.31M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip8
Fra:1 Mem:66.32M (Peak 66.32M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace8
Fra:1 Mem:66.34M (Peak 66.34M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post9
Fra:1 Mem:66.36M (Peak 66.36M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post10
Fra:1 Mem:66.36M (Peak 66.36M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Splint10
Fra:1 Mem:66.39M (Peak 66.39M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post11
Fra:1 Mem:66.42M (Peak 66.42M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Splint11
Fra:1 Mem:66.42M (Peak 66.42M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post12
Fra:1 Mem:66.47M (Peak 66.47M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip12
Fra:1 Mem:66.46M (Peak 66.47M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace12
Fra:1 Mem:66.47M (Peak 66.47M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post13
Fra:1 Mem:66.49M (Peak 66.49M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip13
Fra:1 Mem:66.51M (Peak 66.51M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip14
Fra:1 Mem:66.53M (Peak 66.53M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace14
Fra:1 Mem:66.54M (Peak 66.54M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post15
Fra:1 Mem:66.56M (Peak 66.56M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip15
Fra:1 Mem:66.56M (Peak 66.56M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post16
Fra:1 Mem:66.58M (Peak 66.58M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip16
Fra:1 Mem:66.60M (Peak 66.60M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post17
Fra:1 Mem:66.61M (Peak 66.61M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post18
Fra:1 Mem:66.62M (Peak 66.62M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip18
Fra:1 Mem:66.64M (Peak 66.64M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace18
Fra:1 Mem:66.64M (Peak 66.64M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post19
Fra:1 Mem:66.65M (Peak 66.65M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip19
Fra:1 Mem:66.69M (Peak 66.69M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post20
Fra:1 Mem:66.71M (Peak 66.71M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tip20
Fra:1 Mem:66.73M (Peak 66.73M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Brace20
Fra:1 Mem:66.72M (Peak 66.73M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post21
Fra:1 Mem:66.75M (Peak 66.75M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail0_0.35
Fra:1 Mem:66.78M (Peak 66.78M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail0_0.65
Fra:1 Mem:66.78M (Peak 66.78M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail0_0.95
Fra:1 Mem:66.79M (Peak 66.79M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail1_0.35
Fra:1 Mem:66.84M (Peak 66.84M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail1_0.65
Fra:1 Mem:66.85M (Peak 66.85M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail1_0.95
Fra:1 Mem:66.85M (Peak 66.85M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail2_0.35
Fra:1 Mem:66.90M (Peak 66.90M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail2_0.65
Fra:1 Mem:66.90M (Peak 66.90M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail2_0.95
Fra:1 Mem:66.92M (Peak 66.92M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.35
Fra:1 Mem:66.95M (Peak 66.95M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.65
Fra:1 Mem:66.97M (Peak 66.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail3_0.95
Fra:1 Mem:66.97M (Peak 66.97M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.35
Fra:1 Mem:66.99M (Peak 66.99M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.65
Fra:1 Mem:67.00M (Peak 67.00M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail4_0.95
Fra:1 Mem:67.03M (Peak 67.03M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail5_0.35
Fra:1 Mem:67.05M (Peak 67.05M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail5_0.65
Fra:1 Mem:67.08M (Peak 67.08M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail5_0.95
Fra:1 Mem:67.09M (Peak 67.09M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail6_0.35
Fra:1 Mem:67.10M (Peak 67.10M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail6_0.65
Fra:1 Mem:67.12M (Peak 67.12M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail6_0.95
Fra:1 Mem:67.16M (Peak 67.16M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail7_0.35
Fra:1 Mem:67.16M (Peak 67.16M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail7_0.65
Fra:1 Mem:67.18M (Peak 67.18M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail7_0.95
Fra:1 Mem:67.19M (Peak 67.19M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail12_0.35
Fra:1 Mem:67.25M (Peak 67.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail12_0.65
Fra:1 Mem:67.24M (Peak 67.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.35
Fra:1 Mem:67.25M (Peak 67.25M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.65
Fra:1 Mem:67.31M (Peak 67.31M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail13_0.95
Fra:1 Mem:67.33M (Peak 67.33M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail14_0.35
Fra:1 Mem:67.33M (Peak 67.33M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail14_0.95
Fra:1 Mem:67.37M (Peak 67.37M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail15_0.35
Fra:1 Mem:67.41M (Peak 67.41M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail15_0.95
Fra:1 Mem:67.42M (Peak 67.42M) | Time:00:00.05 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rail16_0.35
