Blender 4.3.2
Fra:1 Mem:83.84M (Peak 83.84M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | SandBase
Fra:1 Mem:83.84M (Peak 83.84M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | GrassPad
Fra:1 Mem:83.85M (Peak 83.85M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Blend
Fra:1 Mem:83.90M (Peak 83.90M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB0
Fra:1 Mem:83.90M (Peak 83.90M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft1
Fra:1 Mem:83.90M (Peak 83.90M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft2
Fra:1 Mem:83.91M (Peak 83.91M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft3
Fra:1 Mem:83.91M (Peak 83.91M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft4
Fra:1 Mem:83.91M (Peak 83.91M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft5
Fra:1 Mem:83.91M (Peak 83.91M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft6
Fra:1 Mem:83.91M (Peak 83.91M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB6
Fra:1 Mem:83.92M (Peak 83.92M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft7
Fra:1 Mem:83.92M (Peak 83.92M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft8
Fra:1 Mem:83.92M (Peak 83.92M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft9
Fra:1 Mem:83.94M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB9
Fra:1 Mem:83.92M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft10
Fra:1 Mem:83.92M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft11
Fra:1 Mem:83.93M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft12
Fra:1 Mem:83.93M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB12
Fra:1 Mem:83.93M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft13
Fra:1 Mem:83.93M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft14
Fra:1 Mem:83.93M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft15
Fra:1 Mem:83.94M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB15
Fra:1 Mem:83.94M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft16
Fra:1 Mem:83.94M (Peak 83.94M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft17
Fra:1 Mem:83.96M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB18
Fra:1 Mem:83.94M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft20
Fra:1 Mem:83.96M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft21
Fra:1 Mem:83.95M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB21
Fra:1 Mem:83.95M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft22
Fra:1 Mem:83.95M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft23
Fra:1 Mem:83.95M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft24
Fra:1 Mem:83.95M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB24
Fra:1 Mem:83.96M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft25
Fra:1 Mem:83.96M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft26
Fra:1 Mem:83.96M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft27
Fra:1 Mem:83.96M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB27
Fra:1 Mem:83.96M (Peak 83.96M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft28
Fra:1 Mem:83.98M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft29
Fra:1 Mem:83.97M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft30
Fra:1 Mem:83.97M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB30
Fra:1 Mem:83.97M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft31
Fra:1 Mem:83.97M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft32
Fra:1 Mem:83.97M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft33
Fra:1 Mem:83.98M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB33
Fra:1 Mem:83.98M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft34
Fra:1 Mem:83.98M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft35
Fra:1 Mem:83.98M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft36
Fra:1 Mem:83.98M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB36
Fra:1 Mem:83.98M (Peak 83.98M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft37
Fra:1 Mem:83.99M (Peak 83.99M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft38
Fra:1 Mem:83.99M (Peak 83.99M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Tuft39
Fra:1 Mem:83.99M (Peak 83.99M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | TuftB39
Fra:1 Mem:83.99M (Peak 83.99M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rock0
Fra:1 Mem:83.99M (Peak 83.99M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rock1
Fra:1 Mem:83.99M (Peak 83.99M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rock2
Fra:1 Mem:84.04M (Peak 84.04M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rock3
Fra:1 Mem:84.05M (Peak 84.05M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rock5
Fra:1 Mem:84.06M (Peak 84.06M) | Time:00:00.08 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Rock6
