Blender 4.3.2
Fra:1 Mem:34.46M (Peak 34.46M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Ground
Fra:1 Mem:34.48M (Peak 34.48M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Seam
Fra:1 Mem:34.50M (Peak 34.50M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post0
Fra:1 Mem:34.51M (Peak 34.51M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick0
Fra:1 Mem:34.52M (Peak 34.52M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post1
Fra:1 Mem:34.53M (Peak 34.53M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick1
Fra:1 Mem:34.54M (Peak 34.54M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post2
Fra:1 Mem:34.56M (Peak 34.56M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick2
Fra:1 Mem:34.56M (Peak 34.56M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post3
Fra:1 Mem:34.62M (Peak 34.62M) | Time:00:00.01 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick3
Fra:1 Mem:34.63M (Peak 34.63M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post4
Fra:1 Mem:34.64M (Peak 34.64M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Aura
Fra:1 Mem:34.73M (Peak 34.73M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | PadCoin
Fra:1 Mem:34.76M (Peak 34.76M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | BuildPad
Fra:1 Mem:34.77M (Peak 34.77M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | LootCoin
Fra:1 Mem:34.80M (Peak 34.80M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg21_1
Fra:1 Mem:34.81M (Peak 34.81M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg21_-1
Fra:1 Mem:34.83M (Peak 34.83M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword21
Fra:1 Mem:34.84M (Peak 34.84M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor21
Fra:1 Mem:34.86M (Peak 34.86M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm21
Fra:1 Mem:34.90M (Peak 34.90M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead21
Fra:1 Mem:34.94M (Peak 34.94M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody21
Fra:1 Mem:34.95M (Peak 34.95M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg20_1
Fra:1 Mem:34.96M (Peak 34.96M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg20_-1
Fra:1 Mem:34.98M (Peak 34.98M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Sword20
Fra:1 Mem:34.99M (Peak 34.99M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Visor20
Fra:1 Mem:35.01M (Peak 35.01M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Helm20
Fra:1 Mem:35.05M (Peak 35.05M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EHead20
Fra:1 Mem:35.08M (Peak 35.08M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick4
Fra:1 Mem:35.09M (Peak 35.09M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post5
Fra:1 Mem:35.10M (Peak 35.10M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | EBody20
Fra:1 Mem:35.12M (Peak 35.12M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Pick5
Fra:1 Mem:35.14M (Peak 35.14M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg19_1
Fra:1 Mem:35.14M (Peak 35.14M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post6
Fra:1 Mem:35.14M (Peak 35.14M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | ELeg19_-1
Fra:1 Mem:35.17M (Peak 35.17M) | Time:00:00.02 | Mem:0.00M, Peak:0.00M | Scene, ViewLayer | Synchronizing object | Post7
